Date;Open;High;Low;Close;Volume
Tuesday, April 23, 2019;16.86;16.86;16.86;16.86;--
Monday, April 22, 2019;16.62;16.62;16.62;16.62;--
Thursday, April 18, 2019;16.55;16.55;16.55;16.55;--
Wednesday, April 17, 2019;16.49;16.49;16.49;16.49;--
Tuesday, April 16, 2019;16.55;16.55;16.55;16.55;--
Monday, April 15, 2019;16.48;16.48;16.48;16.48;--
Friday, April 12, 2019;16.57;16.57;16.57;16.57;--
Thursday, April 11, 2019;16.52;16.52;16.52;16.52;--
Wednesday, April 10, 2019;16.47;16.47;16.47;16.47;--
Tuesday, April 09, 2019;16.30;16.30;16.30;16.30;--
Monday, April 08, 2019;16.34;16.34;16.34;16.34;--
Friday, April 05, 2019;16.37;16.37;16.37;16.37;--
Thursday, April 04, 2019;16.26;16.26;16.26;16.26;--
Wednesday, April 03, 2019;16.42;16.42;16.42;16.42;--
Tuesday, April 02, 2019;16.34;16.34;16.34;16.34;--
Monday, April 01, 2019;16.28;16.28;16.28;16.28;--
Friday, March 29, 2019;16.06;16.06;16.06;16.06;--
Thursday, March 28, 2019;15.88;15.88;15.88;15.88;--
Wednesday, March 27, 2019;15.79;15.79;15.79;15.79;--
Tuesday, March 26, 2019;15.95;15.95;15.95;15.95;--
Monday, March 25, 2019;15.79;15.79;15.79;15.79;--
Friday, March 22, 2019;15.86;15.86;15.86;15.86;--
Thursday, March 21, 2019;16.18;16.18;16.18;16.18;--
Wednesday, March 20, 2019;15.75;15.75;15.75;15.75;--
Tuesday, March 19, 2019;15.84;15.84;15.84;15.84;--
Monday, March 18, 2019;15.77;15.77;15.77;15.77;--
Friday, March 15, 2019;15.77;15.77;15.77;15.77;--
Thursday, March 14, 2019;15.66;15.66;15.66;15.66;--
Wednesday, March 13, 2019;15.58;15.58;15.58;15.58;--
Tuesday, March 12, 2019;15.56;15.56;15.56;15.56;--
Monday, March 11, 2019;15.56;15.56;15.56;15.56;--
Friday, March 08, 2019;15.24;15.24;15.24;15.24;--
Thursday, March 07, 2019;15.31;15.31;15.31;15.31;--
Wednesday, March 06, 2019;15.27;15.27;15.27;15.27;--
Tuesday, March 05, 2019;15.40;15.40;15.40;15.40;--
Monday, March 04, 2019;15.37;15.37;15.37;15.37;--
Friday, March 01, 2019;15.50;15.50;15.50;15.50;--
Thursday, February 28, 2019;15.35;15.35;15.35;15.35;--
Wednesday, February 27, 2019;15.38;15.38;15.38;15.38;--
Tuesday, February 26, 2019;15.32;15.32;15.32;15.32;--
Monday, February 25, 2019;15.37;15.37;15.37;15.37;--
Friday, February 22, 2019;15.33;15.33;15.33;15.33;--
Thursday, February 21, 2019;15.14;15.14;15.14;15.14;--
Wednesday, February 20, 2019;15.18;15.18;15.18;15.18;--
Tuesday, February 19, 2019;15.17;15.17;15.17;15.17;--
Monday, February 18, 2019;15.19;15.19;15.19;15.19;--
Friday, February 15, 2019;15.21;15.21;15.21;15.21;--
Thursday, February 14, 2019;15.17;15.17;15.17;15.17;--
Wednesday, February 13, 2019;15.18;15.18;15.18;15.18;--
Tuesday, February 12, 2019;15.11;15.11;15.11;15.11;--
Monday, February 11, 2019;14.97;14.97;14.97;14.97;--
Friday, February 08, 2019;14.85;14.85;14.85;14.85;--
Thursday, February 07, 2019;14.68;14.68;14.68;14.68;--
Wednesday, February 06, 2019;14.81;14.81;14.81;14.81;--
Tuesday, February 05, 2019;14.73;14.73;14.73;14.73;--
Monday, February 04, 2019;14.57;14.57;14.57;14.57;--
Friday, February 01, 2019;14.39;14.39;14.39;14.39;--
Thursday, January 31, 2019;14.34;14.34;14.34;14.34;--
Wednesday, January 30, 2019;14.06;14.06;14.06;14.06;--
Tuesday, January 29, 2019;13.74;13.74;13.74;13.74;--
Monday, January 28, 2019;13.93;13.93;13.93;13.93;--
Friday, January 25, 2019;14.13;14.13;14.13;14.13;--
Thursday, January 24, 2019;13.99;13.99;13.99;13.99;--
Wednesday, January 23, 2019;13.66;13.66;13.66;13.66;--
Tuesday, January 22, 2019;13.70;13.70;13.70;13.70;--
Monday, January 21, 2019;13.96;13.96;13.96;13.96;--
Friday, January 18, 2019;13.97;13.97;13.97;13.97;--
Thursday, January 17, 2019;13.71;13.71;13.71;13.71;--
Wednesday, January 16, 2019;13.59;13.59;13.59;13.59;--
Tuesday, January 15, 2019;13.56;13.56;13.56;13.56;--
Monday, January 14, 2019;13.29;13.29;13.29;13.29;--
Friday, January 11, 2019;13.45;13.45;13.45;13.45;--
Thursday, January 10, 2019;13.41;13.41;13.41;13.41;--
Wednesday, January 09, 2019;13.27;13.27;13.27;13.27;--
Tuesday, January 08, 2019;13.22;13.22;13.22;13.22;--
Monday, January 07, 2019;13.05;13.05;13.05;13.05;--
Friday, January 04, 2019;12.88;12.88;12.88;12.88;--
Thursday, January 03, 2019;12.30;12.30;12.30;12.30;--
Wednesday, January 02, 2019;12.86;12.86;12.86;12.86;--
Monday, December 31, 2018;12.76;12.76;12.76;12.76;--
Friday, December 28, 2018;12.68;12.68;12.68;12.68;--
Thursday, December 27, 2018;12.68;12.68;12.68;12.68;--
Wednesday, December 26, 2018;12.64;12.64;12.64;12.64;--
Monday, December 24, 2018;11.84;11.84;11.84;11.84;--
Friday, December 21, 2018;12.13;12.13;12.13;12.13;--
Thursday, December 20, 2018;12.40;12.40;12.40;12.40;--
Wednesday, December 19, 2018;12.75;12.75;12.75;12.75;--
Tuesday, December 18, 2018;12.99;12.99;12.99;12.99;--
Monday, December 17, 2018;12.90;12.90;12.90;12.90;--
Friday, December 14, 2018;13.36;13.36;13.36;13.36;--
Thursday, December 13, 2018;13.57;13.57;13.57;13.57;--
Wednesday, December 12, 2018;13.62;13.62;13.62;13.62;--
Tuesday, December 11, 2018;13.51;13.51;13.51;13.51;--
Monday, December 10, 2018;13.46;13.46;13.46;13.46;--
Friday, December 07, 2018;13.27;13.27;13.27;13.27;--
Thursday, December 06, 2018;13.73;13.73;13.73;13.73;--
Wednesday, December 05, 2018;13.68;13.68;13.68;13.68;--
Tuesday, December 04, 2018;13.68;13.68;13.68;13.68;--
Monday, December 03, 2018;14.23;14.23;14.23;14.23;--
Friday, November 30, 2018;13.99;13.99;13.99;13.99;--
Thursday, November 29, 2018;13.66;13.66;13.66;13.66;--
Wednesday, November 28, 2018;13.73;13.73;13.73;13.73;--
